entityid,tick,user_name,x,y,z,round_number,map_name,matchid,mapid,player_team,winner,team_name,is_win,start_tick,round_tick
458,2367,woxic,-1172.2744,-636.97736,-165.96875,1,de_mirage,24,59,Aurora,CT,T,False,1,2366
398,2564,woxic,-618.2358,-900.06714,-245.96875,1,de_mirage,24,59,Aurora,CT,T,False,1,2563
199,9139,jottAAA,35.21332,-483.3579,-184.07413,2,de_mirage,24,59,Aurora,CT,T,False,7367,1772
246,9301,woxic,-1198.396,-649.72095,-165.96875,2,de_mirage,24,59,Aurora,CT,T,False,7367,1934
388,9322,bLitz,-1014.7551,-91.538635,-365.96875,2,de_mirage,24,59,The MongolZ,CT,CT,True,7367,1955
510,9749,Mzinho,63.146774,-2361.883,-37.96875,2,de_mirage,24,59,The MongolZ,CT,CT,True,7367,2382
465,9946,MAJ3R,-640.306,-903.6179,-237.96875,2,de_mirage,24,59,Aurora,CT,T,False,7367,2579
509,10594,Techno4K,-782.01355,539.2124,-80.83472,2,de_mirage,24,59,The MongolZ,CT,CT,True,7367,3227
88,11656,jottAAA,-778.4734,-291.9407,-165.79062,2,de_mirage,24,59,Aurora,CT,T,False,7367,4289
119,21026,Wicadia,74.56805,-481.958,-176.78107,4,de_mirage,24,59,Aurora,CT,T,False,19283,1743
231,21093,woxic,-1242.5032,-629.19806,-165.96875,4,de_mirage,24,59,Aurora,CT,T,False,19283,1810
126,21271,910-,-676.5278,-869.907,-261.96875,4,de_mirage,24,59,The MongolZ,CT,CT,True,19283,1988
209,22023,Techno4K,-783.183,543.24786,-80.74749,4,de_mirage,24,59,The MongolZ,CT,CT,True,19283,2740
230,23321,MAJ3R,-1201.0703,-649.2542,-165.96875,4,de_mirage,24,59,Aurora,CT,T,False,19283,4038
129,23429,bLitz,-692.8259,-767.7919,-261.96875,4,de_mirage,24,59,The MongolZ,CT,CT,True,19283,4146
206,23661,XANTARES,-676.34674,-1281.6414,-165.96875,4,de_mirage,24,59,Aurora,CT,T,False,19283,4378
120,24482,Mzinho,285.78534,-1505.3145,-173.96875,4,de_mirage,24,59,The MongolZ,CT,CT,True,19283,5199
375,25393,Techno4K,-1443.7966,705.37164,-45.96875,4,de_mirage,24,59,The MongolZ,CT,CT,True,19283,6110
364,32273,jottAAA,-1206.9069,-652.8717,-165.96875,5,de_mirage,24,59,Aurora,CT,T,False,27651,4622
386,33034,910-,26.33057,-2325.4697,-37.96875,5,de_mirage,24,59,The MongolZ,CT,CT,True,27651,5383
70,34378,woxic,-1172.9445,-635.70844,-165.96875,5,de_mirage,24,59,Aurora,CT,T,False,27651,6727
389,34661,Techno4K,-625.61554,-869.96875,-256.45032,5,de_mirage,24,59,The MongolZ,CT,CT,True,27651,7010
183,35506,Wicadia,-607.56323,-905.72705,-237.96875,5,de_mirage,24,59,Aurora,CT,T,False,27651,7855
112,39679,woxic,36.03236,-487.25076,-183.97678,6,de_mirage,24,59,Aurora,CT,T,False,37799,1880
174,39837,jottAAA,-1174.8812,-636.46185,-165.96875,6,de_mirage,24,59,Aurora,CT,T,False,37799,2038
88,39847,Mzinho,299.39096,-1472.1396,-173.96875,6,de_mirage,24,59,The MongolZ,CT,CT,True,37799,2048
175,40364,Techno4K,-1090.0483,618.1061,-77.96875,6,de_mirage,24,59,The MongolZ,CT,CT,True,37799,2565
125,41667,woxic,-1173.9495,-638.2965,-165.96875,6,de_mirage,24,59,Aurora,CT,T,False,37799,3868
119,41825,woxic,-619.6374,-901.863,-245.96875,6,de_mirage,24,59,Aurora,CT,T,False,37799,4026
79,42881,bLitz,-385.78366,-2120.8767,-177.96875,6,de_mirage,24,59,The MongolZ,CT,CT,True,37799,5082
494,42906,woxic,-1019.1172,-1424.2788,-164.72693,6,de_mirage,24,59,Aurora,CT,T,False,37799,5107
120,47296,woxic,35.778965,-486.3794,-184.01509,7,de_mirage,24,59,Aurora,CT,T,False,45519,1777
495,47323,jottAAA,-1208.7761,-652.41656,-165.96875,7,de_mirage,24,59,Aurora,CT,T,False,45519,1804
182,47437,bLitz,-1052.1146,-230.04938,-365.96875,7,de_mirage,24,59,The MongolZ,CT,CT,True,45519,1918
159,47708,Mzinho,-655.4887,-728.6288,-265.45908,7,de_mirage,24,59,The MongolZ,CT,CT,True,45519,2189
106,47940,Techno4K,-1019.95154,600.721,-77.96875,7,de_mirage,24,59,The MongolZ,CT,CT,True,45519,2421
141,50025,woxic,-1155.811,-622.75507,-165.96875,7,de_mirage,24,59,Aurora,CT,T,False,45519,4506
492,50083,910-,28.087246,-2317.5916,-37.96875,7,de_mirage,24,59,The MongolZ,CT,CT,True,45519,4564
381,50176,Senzu,-1101.1531,630.3362,-77.96875,7,de_mirage,24,59,The MongolZ,CT,CT,True,45519,4657
501,51074,woxic,-655.55585,-1370.3604,-165.96759,7,de_mirage,24,59,Aurora,CT,T,False,45519,5555
136,56271,jottAAA,-1202.7303,-636.07355,-165.96875,8,de_mirage,24,59,Aurora,CT,T,False,52306,3965
128,56514,bLitz,-1019.46063,-250.33513,-365.96875,8,de_mirage,24,59,The MongolZ,CT,CT,True,52306,4208
388,57194,Techno4K,-782.08655,541.8054,-80.77995,8,de_mirage,24,59,The MongolZ,CT,CT,True,52306,4888
509,57285,910-,-556.77844,-2253.6123,-177.96875,8,de_mirage,24,59,The MongolZ,CT,CT,True,52306,4979
386,57425,woxic,-655.42487,-1211.159,-165.96875,8,de_mirage,24,59,Aurora,CT,T,False,52306,5119
168,59728,jottAAA,-223.73196,-495.90646,-163.73447,9,de_mirage,24,59,Aurora,CT,T,False,57913,1815
125,59731,woxic,-1199.8457,-651.52795,-165.96875,9,de_mirage,24,59,Aurora,CT,T,False,57913,1818
222,59779,bLitz,-622.58905,-749.65625,-264.5963,9,de_mirage,24,59,The MongolZ,CT,CT,True,57913,1866
134,60538,Mzinho,19.819578,-2357.5671,-37.96875,9,de_mirage,24,59,The MongolZ,CT,CT,True,57913,2625
77,60684,Techno4K,-778.5443,539.6542,-80.83196,9,de_mirage,24,59,The MongolZ,CT,CT,True,57913,2771
208,63354,Techno4K,-1451.7905,702.06836,-45.971382,9,de_mirage,24,59,The MongolZ,CT,CT,True,57913,5441
99,67759,Wicadia,-1162.7482,-637.4832,-165.97093,10,de_mirage,24,59,Aurora,CT,T,False,66011,1748
190,67814,MAJ3R,-225.46144,-487.07635,-164.0404,10,de_mirage,24,59,Aurora,CT,T,False,66011,1803
138,67996,Mzinho,21.521233,-2323.2817,-37.96875,10,de_mirage,24,59,The MongolZ,CT,CT,True,66011,1985
144,68584,bLitz,-673.04767,-720.8706,-265.8729,10,de_mirage,24,59,The MongolZ,CT,CT,True,66011,2573
148,68766,Techno4K,-779.79474,540.65906,-80.80843,10,de_mirage,24,59,The MongolZ,CT,CT,True,66011,2755
469,69334,910-,-6.717732,-2111.1902,-165.96875,10,de_mirage,24,59,The MongolZ,CT,CT,True,66011,3323
173,70840,woxic,-1172.577,-635.5765,-165.96875,10,de_mirage,24,59,Aurora,CT,T,False,66011,4829
470,73774,Senzu,-690.12225,-1011.0392,-213.96875,10,de_mirage,24,59,The MongolZ,CT,CT,True,66011,7763
227,76623,MAJ3R,-225.8821,-484.63318,-164.12686,11,de_mirage,24,59,Aurora,T,T,True,74749,1874
233,76682,bLitz,-680.5966,-753.96875,-260.91684,11,de_mirage,24,59,The MongolZ,T,CT,False,74749,1933
199,76747,woxic,-1173.0607,-636.0721,-165.96875,11,de_mirage,24,59,Aurora,T,T,True,74749,1998
117,77506,Techno4K,-777.7885,541.5989,-80.79242,11,de_mirage,24,59,The MongolZ,T,CT,False,74749,2757
498,78201,Mzinho,71.31888,-2309.3098,-37.96875,11,de_mirage,24,59,The MongolZ,T,CT,False,74749,3452
242,78414,XANTARES,-1133.3949,-627.43024,-165.96875,11,de_mirage,24,59,Aurora,T,T,True,74749,3665
365,79009,MAJ3R,-1703.6136,693.0085,-45.96875,11,de_mirage,24,59,Aurora,T,T,True,74749,4260
107,79560,910-,-687.23193,-664.89276,-268.8094,11,de_mirage,24,59,The MongolZ,T,CT,False,74749,4811
232,79780,Senzu,-1557.4971,877.9077,-45.96875,11,de_mirage,24,59,The MongolZ,T,CT,False,74749,5031
70,84126,jottAAA,-1202.8264,-632.5889,-165.96875,12,de_mirage,24,59,Aurora,CT,T,False,82328,1798
159,84344,woxic,-222.30254,-492.29865,-163.92586,12,de_mirage,24,59,Aurora,CT,T,False,82328,2016
89,84479,bLitz,-635.2345,-744.8795,-264.65988,12,de_mirage,24,59,The MongolZ,CT,CT,True,82328,2151
222,85187,Techno4K,-778.46106,541.41754,-80.79497,12,de_mirage,24,59,The MongolZ,CT,CT,True,82328,2859
504,85651,XANTARES,-1146.2426,-627.51276,-165.96875,12,de_mirage,24,59,Aurora,CT,T,False,82328,3323
390,86732,910-,338.4024,-1491.0906,-173.96875,12,de_mirage,24,59,The MongolZ,CT,CT,True,82328,4404
138,104549,bLitz,-490.34616,-1587.9496,-37.96875,13,de_mirage,24,59,The MongolZ,T,T,True,88310,16239
140,104677,bLitz,-720.26044,-1644.9484,-169.96875,13,de_mirage,24,59,The MongolZ,T,T,True,88310,16367
229,109851,bLitz,-1168.6554,-653.51843,-165.96875,14,de_mirage,24,59,The MongolZ,CT,T,False,108111,1740
