0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0,0,NRG,de_nuke,1,Aurora,A,27.21875,,,,,,oSee,,,,,,0,,,[],,,,0,0,0,0,False
0,0,0,NRG,de_nuke,1,Aurora,A,27.21875,,,,,,HexT,,,,,,1,,,[],,,,1,0,0,0,False
0,0,0,Aurora,de_nuke,1,Aurora,A,27.21875,,,,,,jottAAA,,,,,,3,,,[],,,,4,2,0,0,False
0,0,0,Aurora,de_nuke,1,Aurora,A,27.21875,,,,,,woxic,,,,,,0,,,[],,,,0,3,0,0,False
0,0,0,NRG,de_nuke,1,Aurora,A,27.21875,,,,,,Jeorge,,,,,,1,,,[],,,,1,0,0,0,False
0,0,0,Aurora,de_nuke,1,Aurora,A,27.21875,,,,,,Wicadia,,,,,,0,,,[],,,,0,0,0,0,True
0,0,0,Aurora,de_nuke,1,Aurora,A,27.21875,,,,,,MAJ3R,,,,,,0,,,[],,,,0,0,0,0,False
0,0,0,NRG,de_nuke,1,Aurora,A,27.21875,,,,,,br0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,0,NRG,de_nuke,1,Aurora,A,27.21875,,,,,,nitr0,,,,,,3,,,[],,,,2,4,0,0,False
0,0,0,Aurora,de_nuke,1,Aurora,A,27.21875,,,,,,XANTARES,,,,,,1,,,[],,,,1,1,0,0,False
0,0,1,NRG,de_nuke,2,NRG,A,-25.0,,,,,,oSee,,,,,,0,,,[],,,,0,1,1,0,False
0,0,1,NRG,de_nuke,2,NRG,A,-25.0,,,,,,HexT,,,,,,0,,,[],,,,0,0,0,0,False
0,0,1,Aurora,de_nuke,2,NRG,A,-25.0,,,,,,jottAAA,,,,,,0,,,[],,,,0,0,0,0,False
0,0,1,Aurora,de_nuke,2,NRG,A,-25.0,,,,,,woxic,,,,,,0,,,[],,,,0,1,0,0,False
0,0,1,NRG,de_nuke,2,NRG,A,-25.0,,,,,,Jeorge,,,,,,0,,,[],,,,0,0,0,0,False
0,0,1,Aurora,de_nuke,2,NRG,A,-25.0,,,,,,Wicadia,,,,,,0,,,[],,,,0,0,0,0,True
0,0,1,Aurora,de_nuke,2,NRG,A,-25.0,,,,,,MAJ3R,,,,,,1,,,[],,,,1,2,2,0,False
0,0,1,NRG,de_nuke,2,NRG,A,-25.0,,,,,,br0,,,,,,2,,,[],,,,3,0,0,0,False
0,0,1,NRG,de_nuke,2,NRG,A,-25.0,,,,,,nitr0,,,,,,0,,,[],,,,0,0,0,0,False
0,0,1,Aurora,de_nuke,2,NRG,A,-25.0,,,,,,XANTARES,,,,,,1,,,[],,,,1,0,0,0,False
0,0,2,NRG,de_nuke,3,NRG,A,50.84375,,,,,,oSee,,,,,,0,,,[],,,,0,0,0,0,False
0,0,2,NRG,de_nuke,3,NRG,A,50.84375,,,,,,HexT,,,,,,0,,,[],,,,0,1,0,0,False
0,0,2,Aurora,de_nuke,3,NRG,A,50.84375,,,,,,jottAAA,,,,,,1,,,[],,,,0,3,1,1,False
