round_id,player,total_kills
0,HexT,1
4,HexT,1
7,HexT,1
10,HexT,1
0,Jeorge,1
9,Jeorge,1
10,Jeorge,2
11,Jeorge,1
12,Jeorge,1
15,Jeorge,1
16,Jeorge,1
1,MAJ3R,1
4,MAJ3R,1
6,MAJ3R,1
7,MAJ3R,3
8,MAJ3R,2
11,MAJ3R,1
13,MAJ3R,1
15,MAJ3R,2
16,MAJ3R,3
2,Wicadia,3
3,Wicadia,2
4,Wicadia,1
5,Wicadia,2
6,Wicadia,1
7,Wicadia,1
9,Wicadia,3
10,Wicadia,1
12,Wicadia,2
13,Wicadia,2
14,Wicadia,1
15,Wicadia,2
0,XANTARES,1
1,XANTARES,1
2,XANTARES,1
5,XANTARES,1
9,XANTARES,1
12,XANTARES,3
13,XANTARES,1
16,XANTARES,1
17,XANTARES,1
1,br0,2
5,br0,1
6,br0,1
7,br0,1
8,br0,1
9,br0,1
10,br0,1
11,br0,2
15,br0,2
0,jottAAA,3
2,jottAAA,1
3,jottAAA,2
4,jottAAA,1
5,jottAAA,1
6,jottAAA,1
7,jottAAA,1
8,jottAAA,2
11,jottAAA,1
14,jottAAA,2
0,nitr0,3
2,nitr0,1
3,nitr0,1
6,nitr0,1
9,nitr0,1
3,oSee,1
4,oSee,2
7,oSee,2
8,oSee,1
10,oSee,1
11,oSee,2
15,oSee,1
16,oSee,1
3,woxic,1
4,woxic,2
5,woxic,1
8,woxic,1
9,woxic,1
13,woxic,1
14,woxic,1
15,woxic,1
16,woxic,1
