round_id,attacker_name,player_headshots
0,HexT,1
0,Jeorge,1
0,XANTARES,1
0,jottAAA,4
0,nitr0,2
1,MAJ3R,1
1,XANTARES,1
1,br0,3
2,Wicadia,4
3,HexT,1
3,Wicadia,2
3,jottAAA,2
3,nitr0,1
3,oSee,1
3,woxic,1
4,MAJ3R,1
4,Wicadia,1
4,oSee,1
4,woxic,2
5,Wicadia,1
5,br0,1
5,jottAAA,1
5,woxic,1
6,Wicadia,1
6,br0,2
6,nitr0,1
7,Jeorge,1
7,MAJ3R,1
7,jottAAA,1
8,MAJ3R,2
8,XANTARES,1
8,br0,1
8,jottAAA,2
9,Jeorge,1
9,Wicadia,1
9,XANTARES,1
9,br0,1
10,Jeorge,1
10,Wicadia,1
10,br0,2
11,Jeorge,1
11,br0,2
11,jottAAA,1
12,Jeorge,1
12,Wicadia,2
12,XANTARES,3
13,HexT,2
13,Jeorge,1
13,XANTARES,1
14,jottAAA,4
15,Jeorge,1
15,MAJ3R,1
15,Wicadia,1
15,br0,2
16,MAJ3R,3
16,XANTARES,1
