Chi-Square Test,,,,,,
,,,,,,
Observed Frequencies,,,,,,
,Column variable,,,,Calculations,
Row variable,C1,C2,Total,,fo-fe,
R1,4,1344,1348,,-1.383386581,1.383386581
R2,6,1150,1156,,1.383386581,-1.383386581
Total,10,2494,2504,,,
,,,,,,
Expected Frequencies,,,,,,
,Column variable,,,,,
Row variable,C1,C2,Total,,(fo-fe)^2/fe,
R1,5.383386581,1342.616613,1348,,0.355493406,0.001425395
R2,4.616613419,1151.383387,1156,,0.414537294,0.001662138
Total,10,2494,2504,,,
,,,,,,
Data,,,,,,
Level of Significance,0.05,,,,,
Number of Rows,2,,,,,
Number of Columns,2,,,,,
Degrees of Freedom,1,,,,,
,,,,,,
Results,,,,,,
Critical Value,3.841458821,,,,,
Chi-Square Test Statistic,0.773118233,,,,,
p-Value,0.379254127,,,,,
Do not reject the null hypothesis,,,,,,
,,,,,,
Expected frequency assumption,,,,,,
       is violated.,,,,,,
