,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_high,sorted
16086,"frozenset({'M4A1-S_2', 'AK-47_1', 'AUG_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.0014114326040931546,0.49964714184897674,0.001058574453069866,0.75,1.5010593220338981,1.0,0.0003533561865222629,2.001411432604093,0.33427561837455827,0.002117148906139732,0.5003526093088857,0.3760593220338983,"frozenset({'M4A1-S_2', 'AWP_1', 'AUG_1', 'AK-47_1'})","AK-47_1, AUG_1, AWP_1, M4A1-S_2"
9427,"frozenset({'M4A1-S_2', 'AUG_1', 'AK-47_1', 'M4A1-S_1'})",frozenset({'win'}),0.0024700070571630206,0.49964714184897674,0.0017642907551164433,0.7142857142857143,1.4295803066989508,1.0,0.0005301587886581379,1.7512350035285815,0.30123806154934557,0.0035260930888575456,0.4289744106387266,0.35890839386602097,"frozenset({'M4A1-S_2', 'AUG_1', 'AK-47_1'})","AK-47_1, AUG_1, M4A1-S_2"
16138,"frozenset({'M4A1-S_2', 'AK-47_1', 'Galil AR_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.001058574453069866,0.49964714184897674,0.0007057163020465773,0.6666666666666666,1.3342749529190205,1.0,0.000176802602135875,1.5010585744530696,0.25079477216531254,0.0014114326040931546,0.3338034790785142,0.33403954802259883,"frozenset({'M4A1-S_2', 'AWP_1', 'AK-47_1', 'Galil AR_1'})","AK-47_1, AWP_1, Galil AR_1, M4A1-S_2"
16161,"frozenset({'M4A4_2', 'AK-47_1', 'AWP_1', 'M4A1-S_1', 'M4A4_1'})",frozenset({'win'}),0.010938602681721948,0.49964714184897674,0.0067043048694424845,0.6129032258064516,1.2266721341352287,1.0,0.0012388633036985609,1.2925782168901434,0.1868299002947969,0.01330532212885154,0.22635242731698438,0.3131606524512484,"frozenset({'M4A4_2', 'AWP_1', 'AK-47_1', 'M4A1-S_1'})","AK-47_1, AWP_1, M4A1-S_1, M4A4_2"
9566,"frozenset({'M4A4_2', 'AWP_1', 'AK-47_1', 'M4A4_1'})",frozenset({'win'}),0.021524347212420608,0.49964714184897674,0.014114326040931546,0.6557377049180327,1.312401593035102,1.0,0.0033597474760806,1.4534059212958292,0.24327443202307966,0.027835768963117607,0.31196097019584257,0.3419931462443271,"frozenset({'M4A4_2', 'AWP_1', 'AK-47_1'})","AK-47_1, AWP_1, M4A4_2"
16173,"frozenset({'M4A4_2', 'AK-47_1', 'M4A4_3', 'AWP_1', 'M4A4_1'})",frozenset({'win'}),0.0017642907551164433,0.49964714184897674,0.001058574453069866,0.6,1.2008474576271186,1.0,0.00017705161988536213,1.250882145377558,0.1675503711558854,0.0021156558533145277,0.20056417489421713,0.3010593220338983,"frozenset({'M4A4_3', 'AWP_1', 'AK-47_1'})","AK-47_1, AWP_1, M4A4_3"
9574,"frozenset({'M4A4_1', 'M4A4_3', 'AWP_1', 'AK-47_1'})",frozenset({'win'}),0.0017642907551164433,0.49964714184897674,0.001058574453069866,0.6,1.2008474576271186,1.0,0.00017705161988536213,1.250882145377558,0.1675503711558854,0.0021156558533145277,0.20056417489421713,0.3010593220338983,"frozenset({'M4A4_3', 'AWP_1', 'AK-47_1'})","AK-47_1, AWP_1, M4A4_3"
9582,"frozenset({'M4A4_2', 'M4A4_3', 'AWP_1', 'AK-47_1'})",frozenset({'win'}),0.0017642907551164433,0.49964714184897674,0.001058574453069866,0.6,1.2008474576271186,1.0,0.00017705161988536213,1.250882145377558,0.1675503711558854,0.0021156558533145277,0.20056417489421713,0.3010593220338983,"frozenset({'M4A4_3', 'AWP_1', 'AK-47_1'})","AK-47_1, AWP_1, M4A4_3"
2792,"frozenset({'AWP_2', 'AWP_1', 'AK-47_1'})",frozenset({'win'}),0.011291460832745237,0.49964714184897674,0.007410021171489062,0.65625,1.313426906779661,1.0,0.0017682750391082372,1.4555719509847949,0.24135821352095435,0.014716187806587245,0.31298483779971786,0.3355402542372881,"frozenset({'AWP_2', 'AK-47_1'})","AK-47_1, AWP_2"
16094,"frozenset({'M4A1-S_2', 'AWP_2', 'AK-47_1', 'AWP_1', 'M4A1-S_1'})",frozenset({'win'}),0.0014114326040931546,0.49964714184897674,0.001058574453069866,0.75,1.5010593220338981,1.0,0.0003533561865222629,2.001411432604093,0.33427561837455827,0.002117148906139732,0.5003526093088857,0.3760593220338983,"frozenset({'M4A1-S_2', 'AWP_2', 'AK-47_1'})","AK-47_1, AWP_2, M4A1-S_2"
